zipcode,congress,congressperson,rep,representative,actual_rep_name
77076,,,,,['Jackson Lee' 'Garcia']
77078,,{'Garcia'},,,['Jackson Lee']
77266,,,,,['Crenshaw']
77269,{'Harris'},{'Lee'},,,['Crenshaw']
77089,,,,,['Garcia' 'Olson']
77220,,"{'Fletcher', 'Harris'}",,,['Garcia']
77031,,{'Olson'},,,['Green']
77042,,,,,['Green' 'Fletcher']
77071,,{'Olson'},,,['Green']
77085,,{'Olson'},,,['Green']
77407,{'Cook'},,,,['Green' 'Olson']
77244,,{'Olson'},,,['Fletcher']
77401,,,"{'Allen', 'Green'}",{'McCaul'},['Fletcher']
77449,,,,,['Fletcher' 'McCaul']
77494,,,,,['Olson' 'McCaul']
78960,,,,,['McCaul']
77531,,,,,['Weber']
77554,,,,,['Weber']
77613,,,,,['Weber']
77701,,,,,['Weber']
77702,,,,,['Weber']
77967,,,,,['Vela']
78568,,,,,['Vela']
78569,,,,,['Vela' 'Gonzalez']
78592,,,,,['Vela']
78593,,{'McHenry'},,,['Vela']
78597,,,,,['Vela']
78263,,,{'Castro'},{'Castro'},['Cuellar']
78536,,{'Gonzalez'},,,['Cuellar']
78547,,{'Gonzalez'},,,['Cuellar']
78573,,,,,['Cuellar' 'Gonzalez']
78143,,,,,['Gonzalez']
78155,,,,,['Gonzalez']
78360,,,,,['Gonzalez']
78505,,,,,['Gonzalez']
78225,,,,,['Castro']
78269,,{'Doggett'},,,['Castro']
79903,,,{'Gonzalez'},,['Escobar']
79944,,{'Neguse'},,,['Escobar']
79955,,,,,['Escobar']
79968,,,,,['Escobar']
84007,,,,,['Bishop']
84056,,,{'Hill'},,['Bishop']
84075,,,,,['Bishop']
84331,,,,,['Bishop']
84334,,,,,['Bishop']
84020,,,,,['Curtis' 'McAdams']
84032,,,,,['Curtis']
84042,,,,,['Curtis']
84124,,{'Stewart'},,,['Curtis' 'McAdams']
84512,,,,,['Curtis']
84528,,,,,['Curtis']
84534,,,,,['Curtis']
84604,,,,,['Curtis']
84129,,{'Stewart'},,,['McAdams']
84645,,,,,['McAdams']
84662,,{'Johnson'},,,['McAdams']
84102,,,,,['Stewart']
84112,,,,,['Stewart']
84635,,,,,['Stewart']
84710,,"{'Allen', 'Green'}",,,['Stewart']
84743,,{'Schweikert'},{'Schweikert'},{'Lee'},['Stewart']
84758,,,,,['Stewart']
84764,,,,,['Stewart']
84779,,,,,['Stewart']
20159,,,,,['Wexton']
22182,,,,,['Wexton' 'Connolly']
22603,,,,,['Wexton']
22719,,,,,['Riggleman']
22942,,,,,['Riggleman' 'Spanberger']
23040,,,,,['Riggleman']
23093,,{'Wittman'},,,['Riggleman' 'Spanberger']
23909,,,,,['Riggleman']
23934,,{'Delgado'},,,['Riggleman']
23970,,{'Levin'},,,['Riggleman']
24570,,"{'Clay', 'Webster'}",,,['Riggleman' 'Cline']
22989,,,,{'Riggleman'},['Spanberger']
23235,,,,,['Spanberger' 'McEachin']
23930,,,,,['Spanberger']
22460,,,,,['Wittman']
22472,,,,,['Wittman']
22511,,,,,['Wittman']
22523,,,,,['Wittman']
23086,,{'King'},{'King'},,['Wittman']
23128,,,,,['Wittman']
23140,{'Turner'},,,,['Wittman' 'McEachin' 'Scott']
23180,,,,,['Wittman']
20192,,,,,['Connolly']
22032,,,{'Sarbanes'},"{'Sarbanes', 'Wexton'}",['Connolly']
22043,,{'DeSaulnier'},,,['Connolly' 'Beyer']
22217,,,,,['Beyer']
22812,,,,,['Cline']
24001,,{'Lee'},,,['Cline']
24090,,,,,['Cline']
24514,,,,,['Cline']
24574,,,,,['Cline']
24579,,,,,['Cline']
23220,,,,,['McEachin' 'Scott']
23284,,,,,['McEachin' 'Scott']
23298,,,,,['McEachin' 'Scott']
23314,,,,,['McEachin' 'Scott']
23430,,,,,['McEachin' 'Scott']
23881,,,,,['McEachin' 'Scott']
23505,,,,,['Scott' 'Luria']
23541,,,,,['Scott']
23612,,,,,['Scott']
23666,,,,,['Scott' 'Luria']
23303,,,,,['Luria']
23421,,,,,['Luria']
23511,,,,,['Luria']
24073,,,,,['Griffith']
24218,,,"{'Hill', 'Harris'}",,['Griffith']
24347,,,,,['Griffith']
24614,,,,,['Griffith']
24631,,,,,['Griffith']
24639,,,,,['Griffith']
99040,,,,,['McMorris Rodgers']
99136,,,,,['McMorris Rodgers']
99176,,,,,['McMorris Rodgers']
99214,,,,,['McMorris Rodgers']
99260,,,,,['McMorris Rodgers']
99328,,,,,['McMorris Rodgers']
98042,,,,,['Schrier' 'Smith']
98372,,,,,['Schrier' 'Heck']
98374,,{'Schakowsky'},,,['Schrier' 'Heck']
98015,,"{'Schrier', 'Kim'}",,,['Smith']
98093,,{'Jayapal'},,,['Smith']
98122,,,,,['Smith' 'Jayapal']
98264,,,,,['DelBene']
98266,,{'Larsen'},,,['DelBene']
98274,,,,,['DelBene' 'Larsen']
98281,,,,,['DelBene']
98291,,{'Larsen'},,,['DelBene']
98046,,{'Jayapal'},"{'Schrier', 'Kim'}",,['Larsen']
98236,{'Cook'},,"{'Schrier', 'Kim'}","{'Schrier', 'Kim'}",['Larsen']
98243,,,,,['Larsen']
98271,,,,,['Larsen']
98103,,,,,['Jayapal']
98109,,,{'Abraham'},,['Jayapal']
98174,,,,"{'Dunn', 'King'}",['Jayapal']
98181,{'King'},,{'Abraham'},"{'Schrier', 'Kim'}",['Jayapal']
98364,,,,,['Kilmer']
98381,,,,,['Kilmer']
98466,{'Cook'},,,,['Kilmer' 'Heck']
98467,,,,,['Kilmer' 'Heck']
98535,,,,,['Kilmer']
98563,,,,,['Kilmer']
98373,,,,,['Heck']
98443,,{'Kilmer'},,{'Kilmer'},['Heck']
98445,,,,,['Heck']
98496,,{'Smith'},,,['Heck']
98576,,,"{'Schrier', 'Kim'}",,['Heck' 'Herrera Beutler']
98530,,,,,['Herrera Beutler']
98855,,,,,['Newhouse']
98921,,,,,['Newhouse']
98930,,,,,['Newhouse']
98944,,,,,['Newhouse']
99302,,,{'Lawson'},{'Lawson'},['Newhouse']
99349,,,,,['Newhouse']
25019,,{'Case'},,,['Mooney']
25033,,{'Yarmuth'},,,['Mooney']
25162,,{'McCarthy'},,,['Mooney']
25259,,,,,['Mooney']
25364,,,,,['Mooney']
26234,,,,,['Mooney']
26817,,,{'Delgado'},,['Mooney']
26823,,,,,['Mooney']
24740,,,,,['Miller']
24836,,,,,['Miller']
24854,,,,,['Miller']
24944,,,,,['Miller']
25573,,,,,['Miller']
25647,,{'Long'},,,['Miller']
25671,,,,,['Miller']
25888,,,,,['Miller']
25909,,{'Ocasio-Cortez'},,,['Miller']
26264,,{'Westerman'},,,['Miller']
26678,,{'Schweikert'},,,['Miller']
26104,,{'Johnson'},,,['McKinley']
26167,,{'Lee'},,,['McKinley']
26361,,{'McNerney'},{'Bishop'},,['McKinley']
26421,,,,,['McKinley']
26424,,,,,['McKinley']
26434,,,,,['McKinley']
26440,,{'Scalise'},,,['McKinley']
26508,,,,,['McKinley']
26739,{'Stanton'},"{'Kelly', 'Horn', 'Schakowsky'}",,,['McKinley']
53019,,,,,['Grothman']
53026,,,"{'Jordan', 'Mullin'}",,['Grothman']
53042,,,,,['Grothman' 'Gallagher']
53061,,,,{'Hill'},['Grothman' 'Gallagher']
53532,,,,,['Grothman' 'Pocan']
53913,,,,,['Grothman' 'Pocan']
53932,,,,,['Grothman' 'Sensenbrenner']
53956,,,,,['Grothman' 'Sensenbrenner']
54207,,,,,['Grothman']
54232,,,,,['Grothman']
54947,,,{'Larsen'},,['Grothman' 'Gallagher']
54966,{'Cook'},,,,['Grothman' 'Kind']
53003,,,,,['Sensenbrenner']
53007,,,"{'Brown', 'Wagner'}",,['Sensenbrenner' 'Moore']
53066,,,,,['Sensenbrenner' 'Steil']
53224,,,,,['Moore']
54115,,,,,['Gallagher']
54136,,,{'Miller'},,['Gallagher']
54302,,,,,['Gallagher']
53125,,,,,['Steil']
53127,,,,,['Steil']
53142,{'Cook'},,,,['Steil']
53149,,,,,['Steil']
53195,,,,,['Steil']
53404,,,,,['Steil']
53502,,,,,['Pocan']
53531,,,,,['Pocan']
53543,,,,,['Pocan' 'Kind']
53562,,,,,['Pocan']
53571,,,,,['Pocan']
53574,,,,,['Pocan']
53959,,,,,['Pocan']
53518,,{'Brownley'},,,['Kind']
54410,,"{'Cloud', 'King'}",,,['Kind']
54473,,,,,['Kind']
54601,,,,,['Kind']
54610,,,,,['Kind']
54730,,,{'Brown'},,['Kind']
,,,,,866
